"","team2014","cfrr","id","school"
"1",4,0.85,161,"Alachua"
"2",4,1,171,"Archer"
"3",2,0.71,510,"Chiles"
"4",1,0.74,21,"Duval"
"5",1,0.95,31,"Finley"
"6",1,0.84,41,"Foster"
"7",1,1,331,"Glen Springs"
"8",3,0.84,482,"Hidden Oak"
"9",3,0.72,461,"High Spr. Comm."
"10",3,0.74,321,"Idylwild"
"11",2,0.95,571,"Irby"
"12",4,0.74,71,"Lake Forest"
"13",3,0.77,91,"Littlewood"
"14",1,0.93,520,"Meadowbrook"
"15",4,0.54,101,"Metcalfe"
"16",3,0.99,531,"Newberry elem"
"17",2,0.99,541,"Norton"
"18",2,0.59,341,"Rawlings"
"19",NA,0.9,281,"Shell"
"20",2,0.94,561,"Talbot"
"21",2,0.62,311,"Terwilliger"
"22",4,0.73,291,"Waldo"
"23",3,0.88,501,"Wiles"
"24",1,0.67,111,"Williams"
"25",2,1,341,"Fernside"
"26",NA,1,500,"Prairie View"
"27",2,1,341,"Rawlings"
"28",2,0.69,121,"Bishop"
"29",3,0.88,481,"Ft. Clarke"
"30",3,0.76,201,"Hawthorne"
"31",3,0.47,461,"High Spr. Comm."
"32",4,0.65,502,"Kanapaha"
"33",2,0.62,112,"Lincoln"
"34",4,0.75,221,"Mebane"
"35",1,0.83,591,"Oak View"
"36",1,0.81,141,"Westwood"
"37",2,0.51,431,"Buchholz"
"38",2,0.39,421,"Eastside"
"39",3,0.41,151,"Gainesville"
"40",3,0.32,201,"Hawthorne"
"41",1,0.57,411,"Lofton"
"42",3,0.65,261,"Newberry"
"43",1,0.72,271,"Santa Fe"
"44",4,0.42,52,"A Quinn"
"45",1,0.15,412,"Horizon"
